Ido	Esperanto	lingua Latina	français	English	日本語
abadala	abata, abateja	abbātiālis	abbatial	abbatial	
abatajaro			abattis, abatis	abatis, abattis, abbattis	逆茂木
abdomino	ventro	abdomen	ventre, abdomen, bedon, estomac, bide, brioche, panse	belly, abdomen, stomach, venter	腹, 腹部
abel-edukisto	abelbredisto		apiculteur	beekeeper, apiculturist	
abelo	abelo	apis	abeille	bee	ハチ, 蜂
Abidjan	Abiĝano		Abidjan	Abidjan	アビジャン
abieto	abio	abies	sapin	fir, fir tree	樅の木, モミ
ablativo	ablativo	ablativus, casus ablativus	ablatif	ablative	奪格
ableto			ablette	bleak, common bleak, ablet, ablen	
abomineso	malamego		horreur, aversion, répulsion, abomination, répugnance, exécration, nausée, écœurement	abhorrence, aversion, abomination, deep aversion, disgust, detestation	
abomino	malamego		horreur, aversion, répulsion, abomination, répugnance, exécration, nausée, écœurement	abhorrence, aversion, abomination, deep aversion, disgust, detestation	
abrikoto	abrikoto	armeniacum	abricot, prune d’Arménie, pomme d'Arménie, prune d'Arménie	apricot	杏子
absenteso	foresto		absence	absence	
abstrakta algebro	abstrakta algebro		algèbre générale	abstract algebra	抽象代数学
absurda	absurda		absurde	ludicrous, absurd	
Abuja	Abuĝo		Abuja	Abuja	アブジャ
acenso	supreniro		ascension, montée	ascent	登り
acidento	akcidento, malfelicxo		accident	accident	事故
adenito	adenito		adénite	adenitis	
adipocero			adipocire, gras de cadavre	adipocere, corpse wax, grave wax, mortuary wax	死蝋
adjektivo	adjektivo	verbum adiectum	adjectif	adjective, describing word	形容詞
administrado financala			gestion financière	financial management	
admiralaro	admiralejo		amirauté	admiralty	
admirinda	admirinda		admirable	admirable	
adolecotempo	adolesko, juneco	adulescentia	adolescence	adolescence, teenhood	
adreso	adreso		adresse, adresse, adresse	address, address, address	住所
Adriatiko	Adriatiko, Adria Maro	Mare Hadriaticum	Mer Adriatique	Adriatic Sea	アドリア海
adultero	adulto	adulterium	adultère	adultery, advowtry, philandery	不倫, 姦通, 私通
advento	advento	Adventus	Avent	Advent	
aero	aero	aer	air	air	空気, エア, 天空
aeroplano	avio, aviadilo, flugmaŝino; aviadilo	aeroplanum; aëroplanum	avion, aéroplane; appareil volant, aéronef	aeroplane, plane, bird, fixed-wing aircraft; aircraft	飛行機, 航空機; 飛行機, 航空機
Afganistan	Afganio		Afghanistan, République islamique d'Afghanistan, État islamique d’Afghanistan, État islamique d'Afghanistan	Afghanistan, Transitional Islamic State of Afghanistan	アフガニスタン
afidio	afido		puceron	aphid, plant lice	アブラムシ
Afrika	Afriko	Africa	Afrique, continent noir	Africa	アフリカ, 阿弗利加
Afrikansa	Afrikansa, afrikansa		afrikaans	Afrikaans	アフリカーンス語
agosto	aŭgusto, Aŭgusto	augustus, Augustus, augustus, sextilis	août, aout	August	八月, 葉月, 8月
agrafilo	agrafilo	consutorium	agrafeuse, brocheuse	stapler	ホッチキス, ステープラー, ホチキス
agro	kampo, kamparo	campus	champs, champ	field	原野, 畑, フィールド
agrokultivo	agrikulturo, terkulturo	agricultura	agriculture, agriculture	agriculture, agriculture	農業, 農業
akrostiko	akrostiko		acrostiche	acrostic	
aktiniumo	aktinio	actinium	actinium	actinium	アクチニウム
Al Manamah	Manamo		Manama	Manama	マナーマ
Alando	Alando		Îles Åland, Iles Åland, Åland, État libre associé d'Åland	Åland Islands	オーランド諸島
Albania	Albanio		Albanie, République d’Albanie	Albania, Republic of Albania	アルバニア
Albaniana			albanais, albanais standard	Albanian, Standard Albanian	アルバニア語
albergestro	albergisto, gastejestro, gastejestrino	copa	aubergiste	innkeeper	
albergo			auberge	inn	
alburno			aubier	sapwood, sap-wood, alburnum	
alfabeto	alfabeto	alphabetum, abecedarium	alphabet	alphabet	アルファベット
alio	ajlo	allium	ail, ail cultivé, ail commun, ail de cuisine, chapon, perdrix, thériaque des pauvres, thériaque des paysans	garlic	大蒜
Aljer	Alĝero	Algeria	Alger, La Blanche	Algiers	アルジェ
Aljeria	Alĝerio		Algérie, République algérienne démocratique et populaire	Algeria, People's Democratic Republic of Algeria	アルジェリア
alkemio	alkemio, alhxemio		alchimie	alchemy	錬金術
alko	alko	alcēs, alces	élan, orignal, orignal	moose, elk	ヘラジカ, 箆鹿
alopecio	alopecio		alopécie, pelade	alopecia, hair loss	脱毛
alternatoro	alternatoro		alternateur	alternator	オルタネーター
alteso			altesse	highness	
alumeto	alumeto		allumette	match, friction match	マッチ
aluminio	aluminio	aluminium	aluminium	aluminium	アルミニウム
Alzacia	Alzaco		Alsace	Alsace	アルザス地域圏
ambro	ambro		ambre gris	ambergris, grey amber, gray amber	竜涎香, 龍涎香, アンバーグリス
